"Date","0-6","7-14","15-30","31-60","61-90","91+"
"2023-09-01","185","61","96","137","59","215"
"2023-10-01","190","76","129","160","61","155"
"2023-11-01","117","41","70","54","32","70"
"2023-12-01","104","35","89","75","36","95"
"2024-01-01","106","43","66","80","30","67"
"2024-02-01","128","73","96","84","49","136"
"2024-03-01","96","44","43","68","30","60"
"2024-04-01","97","39","35","48","33","31"
"2024-05-01","158","62","65","91","40","114"
"2024-06-01","237","65","86","122","73","267"
"2024-07-01","235","89","106","153","125","485"
"2024-08-01","249","102","150","201","120","459"
